Date Time: 14:10:55.872 14/09/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [µs]: 129
High Sensitivity: FALSE
Sample Speed [Hz]: 50
Data interleave: 1
Noise Threshold: 7.227661
Comment: Water at 100mL increments

Index	Wav0	
8-1	1510.3452
8-2	1513.6951
8-3	1516.5538
8-4	1519.8015
8-5	1522.7593
8-6	1525.8528
8-7	1529.0231
8-8	1532.1917
8-9	1535.2935
8-10	1538.5812
8-11	1541.4745
8-12	1544.4465
8-13	1547.5867
8-14	1550.7219
8-15	1553.7548
8-16	1556.7789
8-17	1559.5591
8-18	1563.2168
8-19	1566.3138
8-20	1569.2654
8-21	1572.6804
8-22	1575.3846
8-23	1578.4993
8-24	1581.6807
8-25	1584.8802
8-26	1588.6422

Date	Time	LineNumber	System status	Wav8-1	Wav8-2	Wav8-3	Wav8-4	Wav8-5	Wav8-6	Wav8-7	Wav8-8	Wav8-9	Wav8-10	Wav8-11	Wav8-12	Wav8-13	Wav8-14	Wav8-15	Wav8-16	Wav8-17	Wav8-18	Wav8-19	Wav8-20	Wav8-21	Wav8-22	Wav8-23	Wav8-24	Wav8-25	Wav8-26	Pow8-1	Pow8-2	Pow8-3	Pow8-4	Pow8-5	Pow8-6	Pow8-7	Pow8-8	Pow8-9	Pow8-10	Pow8-11	Pow8-12	Pow8-13	Pow8-14	Pow8-15	Pow8-16	Pow8-17	Pow8-18	Pow8-19	Pow8-20	Pow8-21	Pow8-22	Pow8-23	Pow8-24	Pow8-25	Pow8-26
2025/09/14	14:10:56	131179	0 0 0 0	1510.3574	1513.7028	1516.5768	1519.8123	1522.7664	1525.8817	1529.0414	1532.2012	1535.2932	1538.5901	1541.4998	1544.4447	1547.5891	1550.7257	1553.7849	1556.7981	1559.5648	1563.2351	1566.3336	1569.2732	1572.6976	1575.3882	1578.5146	1581.7003	1584.9590	1587.8903	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.6	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.0	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131180	0 0 0 0	1510.3580	1513.7023	1516.5768	1519.8120	1522.7656	1525.8821	1529.0417	1532.2012	1535.2932	1538.5901	1541.5001	1544.4445	1547.5889	1550.7253	1553.7848	1556.7982	1559.5652	1563.2355	1566.3341	1569.2731	1572.6979	1575.3877	1578.5148	1581.7006	1584.9590	1587.8901	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:56	131181	0 0 0 0	1510.3579	1513.7029	1516.5763	1519.8118	1522.7666	1525.8826	1529.0416	1532.2008	1535.2930	1538.5897	1541.5001	1544.4442	1547.5889	1550.7257	1553.7848	1556.7981	1559.5652	1563.2351	1566.3341	1569.2729	1572.6981	1575.3877	1578.5154	1581.7003	1584.9584	1587.8899	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131182	0 0 0 0	1510.3583	1513.7025	1516.5769	1519.8118	1522.7660	1525.8827	1529.0415	1532.2008	1535.2931	1538.5897	1541.4998	1544.4445	1547.5891	1550.7256	1553.7847	1556.7982	1559.5652	1563.2354	1566.3341	1569.2728	1572.6979	1575.3882	1578.5148	1581.6998	1584.9586	1587.8905	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.5	29.4	23.4	25.5	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131183	0 0 0 0	1510.3579	1513.7026	1516.5765	1519.8118	1522.7671	1525.8823	1529.0411	1532.2007	1535.2928	1538.5900	1541.5001	1544.4447	1547.5890	1550.7257	1553.7847	1556.7985	1559.5647	1563.2347	1566.3341	1569.2729	1572.6978	1575.3877	1578.5151	1581.7008	1584.9589	1587.8906	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131184	0 0 0 0	1510.3575	1513.7023	1516.5770	1519.8116	1522.7666	1525.8820	1529.0421	1532.2008	1535.2930	1538.5902	1541.5000	1544.4443	1547.5890	1550.7257	1553.7847	1556.7983	1559.5656	1563.2351	1566.3339	1569.2731	1572.6979	1575.3875	1578.5148	1581.7009	1584.9589	1587.8906	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.4	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131185	0 0 0 0	1510.3575	1513.7018	1516.5769	1519.8120	1522.7664	1525.8820	1529.0416	1532.2008	1535.2932	1538.5901	1541.5001	1544.4442	1547.5890	1550.7258	1553.7852	1556.7983	1559.5649	1563.2351	1566.3342	1569.2729	1572.6979	1575.3882	1578.5148	1581.7007	1584.9590	1587.8901	17.2	20.4	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.6	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.1	17.7	16.6
2025/09/14	14:10:56	131186	0 0 0 0	1510.3574	1513.7019	1516.5771	1519.8116	1522.7664	1525.8820	1529.0420	1532.2006	1535.2932	1538.5901	1541.5000	1544.4443	1547.5891	1550.7256	1553.7848	1556.7986	1559.5652	1563.2352	1566.3341	1569.2729	1572.6975	1575.3878	1578.5149	1581.7006	1584.9585	1587.8900	17.2	20.4	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131187	0 0 0 0	1510.3573	1513.7029	1516.5768	1519.8118	1522.7667	1525.8821	1529.0414	1532.2007	1535.2931	1538.5901	1541.5000	1544.4443	1547.5890	1550.7260	1553.7848	1556.7982	1559.5653	1563.2351	1566.3337	1569.2731	1572.6975	1575.3878	1578.5153	1581.7004	1584.9594	1587.8906	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.1	17.7	16.6
2025/09/14	14:10:56	131188	0 0 0 0	1510.3568	1513.7025	1516.5769	1519.8119	1522.7662	1525.8823	1529.0415	1532.2008	1535.2931	1538.5902	1541.4998	1544.4440	1547.5890	1550.7261	1553.7847	1556.7982	1559.5653	1563.2356	1566.3344	1569.2723	1572.6979	1575.3879	1578.5153	1581.7008	1584.9589	1587.8895	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131189	0 0 0 0	1510.3577	1513.7024	1516.5765	1519.8116	1522.7666	1525.8821	1529.0411	1532.2006	1535.2930	1538.5901	1541.5000	1544.4442	1547.5892	1550.7258	1553.7847	1556.7982	1559.5649	1563.2352	1566.3342	1569.2731	1572.6978	1575.3875	1578.5149	1581.7003	1584.9587	1587.8903	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.6	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131190	0 0 0 0	1510.3574	1513.7020	1516.5765	1519.8119	1522.7664	1525.8822	1529.0413	1532.2008	1535.2932	1538.5900	1541.4999	1544.4446	1547.5890	1550.7255	1553.7848	1556.7985	1559.5648	1563.2354	1566.3340	1569.2736	1572.6975	1575.3877	1578.5149	1581.7004	1584.9587	1587.8903	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:56	131191	0 0 0 0	1510.3571	1513.7026	1516.5764	1519.8120	1522.7662	1525.8823	1529.0417	1532.2008	1535.2931	1538.5898	1541.5001	1544.4446	1547.5890	1550.7257	1553.7848	1556.7982	1559.5648	1563.2350	1566.3340	1569.2729	1572.6980	1575.3877	1578.5153	1581.7007	1584.9592	1587.8900	17.3	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:56	131192	0 0 0 0	1510.3579	1513.7025	1516.5765	1519.8119	1522.7670	1525.8818	1529.0416	1532.2009	1535.2932	1538.5896	1541.5004	1544.4443	1547.5892	1550.7261	1553.7845	1556.7985	1559.5646	1563.2355	1566.3341	1569.2731	1572.6979	1575.3878	1578.5149	1581.7008	1584.9589	1587.8900	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.4	29.6	29.5	23.4	25.6	25.1	23.0	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131193	0 0 0 0	1510.3573	1513.7030	1516.5769	1519.8119	1522.7662	1525.8821	1529.0415	1532.2004	1535.2933	1538.5898	1541.4999	1544.4441	1547.5890	1550.7257	1553.7845	1556.7981	1559.5651	1563.2354	1566.3339	1569.2727	1572.6978	1575.3875	1578.5145	1581.7001	1584.9587	1587.8895	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.6	28.8	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.0	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131194	0 0 0 0	1510.3583	1513.7025	1516.5763	1519.8124	1522.7665	1525.8824	1529.0417	1532.2009	1535.2933	1538.5903	1541.4998	1544.4442	1547.5891	1550.7255	1553.7844	1556.7982	1559.5649	1563.2352	1566.3341	1569.2727	1572.6976	1575.3876	1578.5148	1581.7004	1584.9590	1587.8906	17.2	20.5	21.2	20.9	19.9	25.6	26.5	25.6	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131195	0 0 0 0	1510.3579	1513.7029	1516.5764	1519.8119	1522.7665	1525.8820	1529.0416	1532.2013	1535.2930	1538.5903	1541.5000	1544.4438	1547.5890	1550.7257	1553.7849	1556.7980	1559.5652	1563.2352	1566.3337	1569.2733	1572.6978	1575.3875	1578.5145	1581.7004	1584.9587	1587.8900	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131196	0 0 0 0	1510.3577	1513.7028	1516.5760	1519.8121	1522.7662	1525.8822	1529.0416	1532.2008	1535.2932	1538.5897	1541.4996	1544.4443	1547.5890	1550.7258	1553.7848	1556.7981	1559.5651	1563.2351	1566.3337	1569.2731	1572.6976	1575.3877	1578.5149	1581.6998	1584.9589	1587.8900	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131197	0 0 0 0	1510.3582	1513.7023	1516.5763	1519.8115	1522.7659	1525.8821	1529.0413	1532.2003	1535.2927	1538.5901	1541.4995	1544.4445	1547.5891	1550.7262	1553.7849	1556.7987	1559.5651	1563.2354	1566.3339	1569.2726	1572.6981	1575.3878	1578.5148	1581.7002	1584.9589	1587.8906	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.4	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131198	0 0 0 0	1510.3580	1513.7028	1516.5771	1519.8118	1522.7671	1525.8818	1529.0416	1532.2006	1535.2931	1538.5900	1541.5001	1544.4440	1547.5889	1550.7260	1553.7849	1556.7979	1559.5647	1563.2350	1566.3344	1569.2728	1572.6976	1575.3875	1578.5146	1581.7013	1584.9584	1587.8905	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.6	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131199	0 0 0 0	1510.3578	1513.7015	1516.5768	1519.8114	1522.7661	1525.8820	1529.0415	1532.2007	1535.2930	1538.5898	1541.4998	1544.4441	1547.5894	1550.7261	1553.7845	1556.7980	1559.5649	1563.2351	1566.3337	1569.2732	1572.6978	1575.3877	1578.5150	1581.6995	1584.9583	1587.8907	17.2	20.5	21.2	20.9	20.0	25.6	26.5	25.6	28.8	25.8	29.8	26.7	33.1	26.5	29.6	29.4	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131200	0 0 0 0	1510.3582	1513.7020	1516.5767	1519.8116	1522.7665	1525.8821	1529.0420	1532.2010	1535.2933	1538.5901	1541.4995	1544.4445	1547.5890	1550.7258	1553.7850	1556.7983	1559.5654	1563.2352	1566.3336	1569.2729	1572.6976	1575.3871	1578.5142	1581.7002	1584.9587	1587.8896	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131201	0 0 0 0	1510.3579	1513.7025	1516.5765	1519.8119	1522.7667	1525.8822	1529.0415	1532.2006	1535.2928	1538.5897	1541.4998	1544.4443	1547.5896	1550.7262	1553.7848	1556.7981	1559.5645	1563.2354	1566.3341	1569.2728	1572.6982	1575.3872	1578.5151	1581.7008	1584.9590	1587.8901	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131202	0 0 0 0	1510.3579	1513.7024	1516.5767	1519.8118	1522.7661	1525.8824	1529.0414	1532.2008	1535.2931	1538.5898	1541.5000	1544.4443	1547.5894	1550.7256	1553.7849	1556.7980	1559.5648	1563.2346	1566.3340	1569.2727	1572.6976	1575.3876	1578.5149	1581.7009	1584.9585	1587.8900	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131203	0 0 0 0	1510.3585	1513.7025	1516.5765	1519.8116	1522.7661	1525.8823	1529.0419	1532.2007	1535.2932	1538.5903	1541.4996	1544.4441	1547.5889	1550.7262	1553.7849	1556.7986	1559.5651	1563.2354	1566.3337	1569.2731	1572.6973	1575.3875	1578.5149	1581.7003	1584.9585	1587.8909	17.3	20.5	21.3	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.2	26.5	29.6	29.5	23.5	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131204	0 0 0 0	1510.3583	1513.7026	1516.5763	1519.8116	1522.7664	1525.8820	1529.0415	1532.2012	1535.2927	1538.5901	1541.4998	1544.4440	1547.5892	1550.7264	1553.7847	1556.7982	1559.5652	1563.2350	1566.3337	1569.2728	1572.6978	1575.3878	1578.5151	1581.7010	1584.9580	1587.8903	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131205	0 0 0 0	1510.3577	1513.7023	1516.5765	1519.8119	1522.7662	1525.8820	1529.0419	1532.2006	1535.2932	1538.5898	1541.5002	1544.4440	1547.5889	1550.7255	1553.7847	1556.7981	1559.5651	1563.2354	1566.3341	1569.2732	1572.6979	1575.3875	1578.5146	1581.7003	1584.9580	1587.8901	17.2	20.5	21.3	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.2	26.5	29.6	29.5	23.4	25.5	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131206	0 0 0 0	1510.3572	1513.7021	1516.5770	1519.8114	1522.7664	1525.8823	1529.0419	1532.2009	1535.2930	1538.5901	1541.4998	1544.4442	1547.5894	1550.7261	1553.7847	1556.7981	1559.5652	1563.2355	1566.3337	1569.2732	1572.6979	1575.3872	1578.5148	1581.7009	1584.9586	1587.8906	17.2	20.4	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.0	23.1	25.0	22.7	20.2	17.1	17.8	16.6
2025/09/14	14:10:57	131207	0 0 0 0	1510.3583	1513.7026	1516.5765	1519.8121	1522.7664	1525.8821	1529.0416	1532.2007	1535.2927	1538.5901	1541.4996	1544.4442	1547.5890	1550.7260	1553.7847	1556.7980	1559.5651	1563.2350	1566.3342	1569.2733	1572.6976	1575.3871	1578.5149	1581.7014	1584.9587	1587.8901	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.0	25.0	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131208	0 0 0 0	1510.3578	1513.7026	1516.5769	1519.8119	1522.7664	1525.8823	1529.0419	1532.2010	1535.2931	1538.5900	1541.4995	1544.4441	1547.5894	1550.7257	1553.7848	1556.7981	1559.5649	1563.2357	1566.3337	1569.2732	1572.6978	1575.3873	1578.5146	1581.7009	1584.9576	1587.8904	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.6	28.7	25.9	29.8	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131209	0 0 0 0	1510.3580	1513.7021	1516.5769	1519.8120	1522.7668	1525.8821	1529.0414	1532.2009	1535.2926	1538.5900	1541.4998	1544.4440	1547.5894	1550.7262	1553.7848	1556.7980	1559.5649	1563.2354	1566.3337	1569.2728	1572.6978	1575.3870	1578.5145	1581.7004	1584.9584	1587.8901	17.2	20.5	21.2	20.9	19.9	25.6	26.5	25.6	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131210	0 0 0 0	1510.3588	1513.7028	1516.5767	1519.8119	1522.7657	1525.8820	1529.0417	1532.2009	1535.2932	1538.5901	1541.4998	1544.4441	1547.5891	1550.7255	1553.7847	1556.7981	1559.5652	1563.2352	1566.3337	1569.2731	1572.6976	1575.3879	1578.5150	1581.7006	1584.9587	1587.8901	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131211	0 0 0 0	1510.3568	1513.7017	1516.5769	1519.8118	1522.7659	1525.8821	1529.0417	1532.2009	1535.2932	1538.5902	1541.5000	1544.4441	1547.5891	1550.7260	1553.7849	1556.7981	1559.5651	1563.2354	1566.3340	1569.2727	1572.6978	1575.3877	1578.5148	1581.7009	1584.9580	1587.8905	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.8	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131212	0 0 0 0	1510.3578	1513.7023	1516.5770	1519.8116	1522.7665	1525.8821	1529.0419	1532.2012	1535.2931	1538.5898	1541.4998	1544.4438	1547.5892	1550.7261	1553.7844	1556.7981	1559.5649	1563.2349	1566.3340	1569.2732	1572.6976	1575.3875	1578.5149	1581.7009	1584.9581	1587.8898	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.0	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131213	0 0 0 0	1510.3583	1513.7018	1516.5765	1519.8119	1522.7659	1525.8822	1529.0416	1532.2013	1535.2931	1538.5898	1541.4993	1544.4441	1547.5891	1550.7257	1553.7848	1556.7979	1559.5649	1563.2354	1566.3342	1569.2729	1572.6979	1575.3873	1578.5150	1581.7008	1584.9580	1587.8899	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.6	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131214	0 0 0 0	1510.3574	1513.7021	1516.5764	1519.8114	1522.7667	1525.8817	1529.0416	1532.2006	1535.2930	1538.5902	1541.4996	1544.4442	1547.5892	1550.7257	1553.7847	1556.7981	1559.5651	1563.2352	1566.3341	1569.2729	1572.6978	1575.3871	1578.5151	1581.7012	1584.9586	1587.8900	17.2	20.5	21.2	20.9	19.9	25.6	26.5	25.6	28.7	25.8	29.9	26.8	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131215	0 0 0 0	1510.3574	1513.7023	1516.5768	1519.8121	1522.7660	1525.8821	1529.0413	1532.2009	1535.2931	1538.5895	1541.4996	1544.4443	1547.5890	1550.7262	1553.7849	1556.7983	1559.5649	1563.2345	1566.3339	1569.2729	1572.6975	1575.3873	1578.5145	1581.7010	1584.9579	1587.8905	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.6	28.8	25.8	29.9	26.7	33.2	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131216	0 0 0 0	1510.3579	1513.7020	1516.5764	1519.8116	1522.7656	1525.8817	1529.0414	1532.2009	1535.2931	1538.5897	1541.4996	1544.4441	1547.5889	1550.7257	1553.7848	1556.7977	1559.5651	1563.2351	1566.3339	1569.2727	1572.6980	1575.3873	1578.5149	1581.7009	1584.9583	1587.8899	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.5	28.7	25.8	29.8	26.8	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131217	0 0 0 0	1510.3585	1513.7023	1516.5762	1519.8118	1522.7657	1525.8820	1529.0413	1532.2012	1535.2931	1538.5901	1541.4994	1544.4442	1547.5892	1550.7261	1553.7849	1556.7980	1559.5653	1563.2350	1566.3340	1569.2732	1572.6976	1575.3872	1578.5157	1581.7006	1584.9579	1587.8904	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.5	28.7	25.8	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131218	0 0 0 0	1510.3579	1513.7021	1516.5767	1519.8116	1522.7670	1525.8821	1529.0420	1532.2013	1535.2932	1538.5902	1541.4999	1544.4436	1547.5890	1550.7261	1553.7849	1556.7976	1559.5651	1563.2349	1566.3337	1569.2731	1572.6979	1575.3872	1578.5149	1581.7001	1584.9578	1587.8899	17.2	20.5	21.2	20.9	19.9	25.6	26.4	25.6	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131219	0 0 0 0	1510.3586	1513.7026	1516.5771	1519.8121	1522.7661	1525.8824	1529.0419	1532.2004	1535.2928	1538.5900	1541.5000	1544.4438	1547.5891	1550.7260	1553.7849	1556.7979	1559.5651	1563.2351	1566.3336	1569.2728	1572.6979	1575.3871	1578.5146	1581.7003	1584.9579	1587.8907	17.2	20.5	21.2	20.9	19.9	25.6	26.5	25.6	28.7	25.9	29.9	26.8	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.8	16.6
2025/09/14	14:10:57	131220	0 0 0 0	1510.3584	1513.7024	1516.5765	1519.8114	1522.7670	1525.8823	1529.0415	1532.2009	1535.2930	1538.5898	1541.4998	1544.4440	1547.5891	1550.7262	1553.7848	1556.7979	1559.5648	1563.2351	1566.3339	1569.2733	1572.6979	1575.3875	1578.5146	1581.7008	1584.9580	1587.8906	17.2	20.5	21.2	20.9	20.0	25.6	26.5	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131221	0 0 0 0	1510.3582	1513.7021	1516.5770	1519.8114	1522.7664	1525.8822	1529.0417	1532.2010	1535.2928	1538.5905	1541.4999	1544.4436	1547.5891	1550.7262	1553.7847	1556.7980	1559.5649	1563.2351	1566.3334	1569.2731	1572.6978	1575.3871	1578.5149	1581.7006	1584.9581	1587.8900	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.5	28.7	25.9	29.8	26.7	33.1	26.5	29.6	29.4	23.5	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131222	0 0 0 0	1510.3588	1513.7020	1516.5767	1519.8121	1522.7665	1525.8822	1529.0417	1532.2010	1535.2928	1538.5897	1541.5000	1544.4442	1547.5890	1550.7262	1553.7849	1556.7982	1559.5648	1563.2351	1566.3337	1569.2733	1572.6978	1575.3872	1578.5149	1581.7012	1584.9584	1587.8901	17.2	20.5	21.2	20.9	20.0	25.7	26.4	25.6	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.5	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131223	0 0 0 0	1510.3578	1513.7021	1516.5770	1519.8115	1522.7665	1525.8821	1529.0422	1532.2006	1535.2932	1538.5898	1541.4996	1544.4442	1547.5892	1550.7258	1553.7849	1556.7982	1559.5645	1563.2356	1566.3340	1569.2731	1572.6979	1575.3875	1578.5151	1581.7000	1584.9578	1587.8896	17.2	20.5	21.2	20.9	19.9	25.7	26.4	25.5	28.7	25.9	29.9	26.7	33.1	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.0	22.7	20.2	17.2	17.7	16.6
2025/09/14	14:10:57	131224	0 0 0 0	1510.3584	1513.7026	1516.5765	1519.8116	1522.7659	1525.8816	1529.0416	1532.2009	1535.2932	1538.5898	1541.4996	1544.4440	1547.5894	1550.7262	1553.7849	1556.7980	1559.5651	1563.2354	1566.3339	1569.2733	1572.6980	1575.3876	1578.5150	1581.7002	1584.9575	1587.8900	17.2	20.5	21.2	20.9	20.0	25.6	26.4	25.5	28.7	25.9	29.9	26.7	33.2	26.5	29.6	29.5	23.4	25.6	25.1	23.1	25.1	22.7	20.2	17.2	17.7	16.6
